subscription_id;user_id;start_date;end_date;monthly_price
1001;2;07.01.23;31.03.23;20
1002;4;12.01.23;;50
1003;5;15.01.23;28.02.23;20
1004;7;25.01.23;;50
1005;8;01.02.23;;20
1006;11;10.02.23;;20
1007;12;14.02.23;;50
1008;15;22.02.23;30.04.23;20
1009;17;03.03.23;;50
1010;18;05.03.23;;20
1011;21;15.03.23;;20
1012;22;18.03.23;30.04.23;50
1013;24;22.03.23;;20
1014;25;25.03.23;;50
1015;27;03.04.23;;20
1016;29;07.04.23;;50
1017;30;10.04.23;;20
1018;2;01.04.23;;20
1019;5;01.04.23;;20
1020;15;01.05.23;;20
