user_id;signup_date;country;plan_type
1;05.01.23;US;free
2;07.01.23;US;basic
3;10.01.23;IN;free
4;12.01.23;DE;pro
5;15.01.23;US;basic
6;20.01.23;FR;free
7;25.01.23;US;pro
8;01.02.23;IN;basic
9;03.02.23;US;free
10;05.02.23;UK;free
11;10.02.23;US;basic
12;14.02.23;DE;pro
13;18.02.23;US;free
14;20.02.23;IN;free
15;22.02.23;US;basic
16;01.03.23;FR;free
17;03.03.23;US;pro
18;05.03.23;UK;basic
19;10.03.23;US;free
20;12.03.23;IN;free
21;15.03.23;US;basic
22;18.03.23;DE;pro
23;20.03.23;US;free
24;22.03.23;FR;basic
25;25.03.23;US;pro
26;01.04.23;IN;free
27;03.04.23;US;basic
28;05.04.23;UK;free
29;07.04.23;US;pro
30;10.04.23;DE;basic
