event_id;user_id;event_type;event_timestamp
5001;1;login;06.01.23 09:10
5002;2;login;08.01.23 10:15
5003;2;feature_used;09.01.23 11:00
5004;3;login;11.01.23 08:45
5005;4;login;13.01.23 12:00
5006;4;feature_used;14.01.23 13:30
5007;5;login;16.01.23 09:00
5008;6;login;21.01.23 10:00
5009;7;login;26.01.23 14:00
5010;7;feature_used;27.01.23 15:00
5011;8;login;02.02.23 09:30
5012;8;upgrade;05.02.23 10:30
5013;9;login;04.02.23 11:00
5014;10;login;06.02.23 12:00
5015;11;login;11.02.23 09:00
5016;12;login;15.02.23 14:00
5017;12;feature_used;16.02.23 15:00
5018;13;login;19.02.23 10:00
5019;14;login;21.02.23 11:00
5020;15;login;23.02.23 12:00
5021;15;feature_used;24.02.23 13:00
5022;17;login;04.03.23 09:00
5023;17;feature_used;06.03.23 10:00
5024;18;login;06.03.23 11:00
5025;19;login;11.03.23 12:00
5026;20;login;13.03.23 13:00
5027;21;login;16.03.23 14:00
5028;22;login;19.03.23 15:00
5029;23;login;21.03.23 09:00
5030;24;login;23.03.23 10:00
5031;25;login;26.03.23 11:00
5032;25;feature_used;27.03.23 12:00
5033;27;login;04.04.23 09:00
5034;28;login;06.04.23 10:00
5035;29;login;08.04.23 11:00
5036;29;feature_used;09.04.23 12:00
5037;30;login;11.04.23 13:00
